index,station_name,latitude,longitude,distance_to_next_basepoint
1,PAB-01 Amianan Is.,21.116036,121.957697,70.08"
2,PAB-02 Balintang Is.,19.960608,122.162867,99.17"
3,PAB-04 Bigan Pt.,18.309806,122.338630,71.83"
4,PAB-05A Ditolong Pt.,17.121194,122.524539,1.05"
5,PAB-05B Ditolong Pt.,17.104108,122.528845,0.39"
6,PAB-05 Ditolong Pt.,17.097586,122.528517,3.29"
7,PAB-06 Spires Is.,17.043586,122.517578,9.74"
8,PAB-06B Digollorin Pt.,16.988341,122.465728,3.51"
9,PAB-06C Digollorin Rk.,16.832253,122.447439,2.40"
10,PAB-07 Divimisa Pt.,16.794128,122.434556,30.94"
11,PAB-08 Dinoban Pt.,16.312314,122.235192,116.26"
12,PAB-10A Tinaga Is.,14.498453,122.964209,80.29"
13,PAB-11 Horodaba Rk.,14.108306,124.283114,0.54"
14,PAB-12 Matulin Rk.,14.102889,124.290633,96.04"
15,PAB-13 Atalaya Pt.,12.685103,125.064919,6.79"
16,PAB-13A Bacan Is.,12.605114,125.147275,5.52"
17,PAB-14 Finch Rk.,12.542678,125.216583,0.80"
18,PAB-14A Cube Rk.,12.532625,125.225658,4.90"
19,PAB-14D NW Manjud Pt.,12.476784,125.286756,1.30"
20,PAB-15 SE Manjud Pt.,12.460420,125.301453,7.09"
21,PAB-16A S Sorz Cay,12.361567,125.385392,5.68"
22,PAB-16B Panablihon,12.290880,125.450031,5.21"
23,PAB-16C Alugon,12.222764,125.505408,1.94"
24,PAB-16D N Bunga Pt.,12.196711,125.525244,0.54"
25,PAB-17 E Bunga Pt.,12.189075,125.530081,5.71"
26,PAB-18A SE Tobabao Is.,12.101944,125.569983,83.94"
27,PAB-19C Suluan Is.,10.754639,125.969105,56.28"
28,PAB-19D N Tuason Pt.,9.833216,126.168442,57.44"
29,PAB-20A Arangasa Is.,8.887950,126.346892,40.69"
30,PAB-21B Sanco Pt.,8.220980,126.481458,30.80"
31,PAB-22 Bagoso Is,7.712505,126.574746,12.95"
32,PAB-22C Languyan,7.496991,126.599789,0.54"
33,PAB-23 Languyan,7.488038,126.599861,0.76"
34,PAB-23B Languyan,7.474158,126.599247,1.20"
35,PAB-23C N Baculin Pt.,7.457061,126.597586,10.12"
36,PAB-24 Pusan Pt.,7.288833,126.605074,1.14"
